name,x,count
maayan-vidal,4,246
maayan-vidal,5,175
maayan-vidal,6,124
maayan-vidal,7,103
maayan-vidal,8,72
maayan-vidal,9,40
maayan-vidal,10,43
maayan-vidal,11,42
maayan-vidal,12,23
maayan-vidal,13,22
maayan-vidal,14,20
maayan-vidal,15,17
maayan-vidal,16,23
maayan-vidal,17,10
maayan-vidal,18,6
maayan-vidal,19,10
maayan-vidal,20,8
maayan-vidal,21,6
maayan-vidal,22,4
maayan-vidal,23,7
maayan-vidal,24,4
maayan-vidal,25,10
maayan-vidal,26,3
maayan-vidal,27,4
maayan-vidal,28,2
maayan-vidal,29,2
maayan-vidal,31,2
maayan-vidal,32,1
maayan-vidal,33,2
maayan-vidal,34,2
maayan-vidal,35,1
maayan-vidal,38,2
maayan-vidal,39,1
maayan-vidal,42,2
maayan-vidal,43,3
maayan-vidal,46,2
maayan-vidal,47,1
maayan-vidal,50,2
maayan-vidal,52,2
maayan-vidal,60,1
maayan-vidal,65,2
maayan-vidal,75,1
maayan-vidal,78,1
maayan-vidal,92,1
maayan-vidal,96,1
maayan-vidal,98,1
maayan-vidal,129,1
moreno_names,2,359
moreno_names,3,237
moreno_names,4,197
moreno_names,5,137
moreno_names,6,118
moreno_names,7,88
moreno_names,8,51
moreno_names,9,70
moreno_names,10,57
moreno_names,11,44
moreno_names,12,39
moreno_names,13,38
moreno_names,14,31
moreno_names,15,25
moreno_names,16,20
moreno_names,17,13
moreno_names,18,21
moreno_names,19,14
moreno_names,20,12
moreno_names,21,10
moreno_names,22,12
moreno_names,23,10
moreno_names,24,15
moreno_names,25,10
moreno_names,26,6
moreno_names,27,5
moreno_names,28,14
moreno_names,29,4
moreno_names,30,7
moreno_names,31,6
moreno_names,32,5
moreno_names,33,2
moreno_names,34,4
moreno_names,35,6
moreno_names,36,6
moreno_names,37,1
moreno_names,38,3
moreno_names,39,2
moreno_names,40,1
moreno_names,41,5
moreno_names,42,3
moreno_names,43,6
moreno_names,44,5
moreno_names,46,1
moreno_names,47,5
moreno_names,48,3
moreno_names,49,3
moreno_names,50,4
moreno_names,52,2
moreno_names,53,3
moreno_names,54,3
moreno_names,55,1
moreno_names,56,1
moreno_names,62,1
moreno_names,63,1
moreno_names,64,1
moreno_names,65,1
moreno_names,66,1
moreno_names,68,1
moreno_names,70,2
moreno_names,74,1
moreno_names,78,1
moreno_names,79,1
moreno_names,80,1
moreno_names,81,1
moreno_names,88,2
moreno_names,91,1
moreno_names,93,1
moreno_names,97,1
moreno_names,100,1
moreno_names,103,1
moreno_names,104,1
moreno_names,108,1
moreno_names,110,1
moreno_names,122,1
moreno_names,202,1
moreno_names,221,1
moreno_names,254,1
moreno_names,364,1
petster-friendships-hamster,1,286
petster-friendships-hamster,2,171
petster-friendships-hamster,3,132
petster-friendships-hamster,4,141
petster-friendships-hamster,5,122
petster-friendships-hamster,6,95
petster-friendships-hamster,7,59
petster-friendships-hamster,8,88
petster-friendships-hamster,9,53
petster-friendships-hamster,10,59
petster-friendships-hamster,11,51
petster-friendships-hamster,12,58
petster-friendships-hamster,13,27
petster-friendships-hamster,14,36
petster-friendships-hamster,15,28
petster-friendships-hamster,16,38
petster-friendships-hamster,17,23
petster-friendships-hamster,18,17
petster-friendships-hamster,19,23
petster-friendships-hamster,20,15
petster-friendships-hamster,21,17
petster-friendships-hamster,22,19
petster-friendships-hamster,23,19
petster-friendships-hamster,24,6
petster-friendships-hamster,25,17
petster-friendships-hamster,26,16
petster-friendships-hamster,27,11
petster-friendships-hamster,28,7
petster-friendships-hamster,29,11
petster-friendships-hamster,30,8
petster-friendships-hamster,31,12
petster-friendships-hamster,32,8
petster-friendships-hamster,33,7
petster-friendships-hamster,34,9
petster-friendships-hamster,35,4
petster-friendships-hamster,36,5
petster-friendships-hamster,37,8
petster-friendships-hamster,38,1
petster-friendships-hamster,39,5
petster-friendships-hamster,40,2
petster-friendships-hamster,41,7
petster-friendships-hamster,42,4
petster-friendships-hamster,43,5
petster-friendships-hamster,44,2
petster-friendships-hamster,45,7
petster-friendships-hamster,46,3
petster-friendships-hamster,47,3
petster-friendships-hamster,48,6
petster-friendships-hamster,49,3
petster-friendships-hamster,50,5
petster-friendships-hamster,51,4
petster-friendships-hamster,52,1
petster-friendships-hamster,53,4
petster-friendships-hamster,54,1
petster-friendships-hamster,55,5
petster-friendships-hamster,56,2
petster-friendships-hamster,57,2
petster-friendships-hamster,59,2
petster-friendships-hamster,60,1
petster-friendships-hamster,61,3
petster-friendships-hamster,62,5
petster-friendships-hamster,63,1
petster-friendships-hamster,64,1
petster-friendships-hamster,65,3
petster-friendships-hamster,66,1
petster-friendships-hamster,67,2
petster-friendships-hamster,68,3
petster-friendships-hamster,69,2
petster-friendships-hamster,71,1
petster-friendships-hamster,72,6
petster-friendships-hamster,73,2
petster-friendships-hamster,74,3
petster-friendships-hamster,76,2
petster-friendships-hamster,77,2
petster-friendships-hamster,78,3
petster-friendships-hamster,79,1
petster-friendships-hamster,82,1
petster-friendships-hamster,83,1
petster-friendships-hamster,84,2
petster-friendships-hamster,85,1
petster-friendships-hamster,86,1
petster-friendships-hamster,87,1
petster-friendships-hamster,88,1
petster-friendships-hamster,89,1
petster-friendships-hamster,90,4
petster-friendships-hamster,94,1
petster-friendships-hamster,97,2
petster-friendships-hamster,98,4
petster-friendships-hamster,101,1
petster-friendships-hamster,105,1
petster-friendships-hamster,108,1
petster-friendships-hamster,113,1
petster-friendships-hamster,119,2
petster-friendships-hamster,124,1
petster-friendships-hamster,126,1
petster-friendships-hamster,137,1
petster-friendships-hamster,142,1
petster-friendships-hamster,147,1
petster-friendships-hamster,148,1
petster-friendships-hamster,154,1
petster-friendships-hamster,169,1
petster-friendships-hamster,222,1
petster-friendships-hamster,272,1
as20000102,1,2301
as20000102,2,1877
as20000102,3,559
as20000102,4,708
as20000102,5,354
as20000102,6,154
as20000102,7,108
as20000102,8,46
as20000102,9,44
as20000102,10,41
as20000102,11,28
as20000102,12,25
as20000102,13,19
as20000102,14,17
as20000102,15,10
as20000102,16,10
as20000102,17,16
as20000102,18,12
as20000102,19,5
as20000102,20,9
as20000102,21,7
as20000102,22,3
as20000102,23,3
as20000102,24,5
as20000102,25,4
as20000102,26,8
as20000102,27,1
as20000102,28,4
as20000102,29,3
as20000102,30,5
as20000102,31,5
as20000102,32,4
as20000102,33,2
as20000102,34,3
as20000102,35,5
as20000102,36,2
as20000102,37,3
as20000102,38,2
as20000102,40,1
as20000102,41,3
as20000102,43,1
as20000102,44,1
as20000102,45,3
as20000102,46,2
as20000102,47,1
as20000102,48,1
as20000102,49,2
as20000102,51,2
as20000102,52,3
as20000102,54,2
as20000102,55,2
as20000102,56,2
as20000102,57,1
as20000102,60,1
as20000102,61,1
as20000102,63,1
as20000102,64,1
as20000102,66,1
as20000102,69,2
as20000102,73,2
as20000102,76,1
as20000102,81,2
as20000102,87,1
as20000102,89,1
as20000102,94,1
as20000102,104,1
as20000102,109,1
as20000102,111,1
as20000102,112,1
as20000102,128,1
as20000102,130,1
as20000102,132,1
as20000102,133,1
as20000102,140,1
as20000102,142,1
as20000102,175,1
as20000102,180,1
as20000102,226,1
as20000102,252,1
as20000102,286,1
as20000102,378,1
as20000102,401,1
as20000102,693,1
as20000102,752,1
as20000102,1460,1
petster-hamster,1,304
petster-hamster,2,230
petster-hamster,3,181
petster-hamster,4,196
petster-hamster,5,140
petster-hamster,6,120
petster-hamster,7,91
petster-hamster,8,108
petster-hamster,9,71
petster-hamster,10,67
petster-hamster,11,33
petster-hamster,12,74
petster-hamster,13,64
petster-hamster,14,39
petster-hamster,15,63
petster-hamster,16,60
petster-hamster,17,54
petster-hamster,18,39
petster-hamster,19,36
petster-hamster,20,22
petster-hamster,21,15
petster-hamster,22,20
petster-hamster,23,23
petster-hamster,24,20
petster-hamster,25,16
petster-hamster,26,15
petster-hamster,27,18
petster-hamster,28,9
petster-hamster,29,13
petster-hamster,30,9
petster-hamster,31,21
petster-hamster,32,10
petster-hamster,33,11
petster-hamster,34,14
petster-hamster,35,15
petster-hamster,36,11
petster-hamster,37,9
petster-hamster,38,7
petster-hamster,39,5
petster-hamster,40,5
petster-hamster,41,4
petster-hamster,42,5
petster-hamster,43,7
petster-hamster,44,6
petster-hamster,45,2
petster-hamster,46,5
petster-hamster,47,5
petster-hamster,48,5
petster-hamster,49,3
petster-hamster,50,6
petster-hamster,51,2
petster-hamster,52,4
petster-hamster,53,3
petster-hamster,54,5
petster-hamster,55,3
petster-hamster,56,3
petster-hamster,57,6
petster-hamster,58,2
petster-hamster,59,2
petster-hamster,60,2
petster-hamster,61,1
petster-hamster,62,4
petster-hamster,63,4
petster-hamster,64,1
petster-hamster,66,4
petster-hamster,67,2
petster-hamster,68,2
petster-hamster,70,6
petster-hamster,71,1
petster-hamster,72,2
petster-hamster,73,2
petster-hamster,74,3
petster-hamster,76,1
petster-hamster,77,3
petster-hamster,78,2
petster-hamster,79,2
petster-hamster,80,2
petster-hamster,81,2
petster-hamster,82,1
petster-hamster,83,2
petster-hamster,84,1
petster-hamster,86,1
petster-hamster,87,4
petster-hamster,88,1
petster-hamster,89,1
petster-hamster,90,2
petster-hamster,91,2
petster-hamster,92,1
petster-hamster,93,1
petster-hamster,94,1
petster-hamster,95,1
petster-hamster,97,2
petster-hamster,99,2
petster-hamster,101,1
petster-hamster,104,2
petster-hamster,105,2
petster-hamster,106,1
petster-hamster,111,1
petster-hamster,112,1
petster-hamster,113,1
petster-hamster,123,2
petster-hamster,128,1
petster-hamster,130,1
petster-hamster,141,1
petster-hamster,146,1
petster-hamster,148,1
petster-hamster,151,1
petster-hamster,154,1
petster-hamster,173,1
petster-hamster,223,1
petster-hamster,273,1
tntp-ChicagoRegional,1,1
tntp-ChicagoRegional,2,2074
tntp-ChicagoRegional,3,502
tntp-ChicagoRegional,4,796
tntp-ChicagoRegional,5,241
tntp-ChicagoRegional,6,4411
tntp-ChicagoRegional,7,109
tntp-ChicagoRegional,8,3879
tntp-ChicagoRegional,9,15
tntp-ChicagoRegional,10,912
tntp-ChicagoRegional,12,35
tntp-ChicagoRegional,14,4
as-caida20071105,1,9937
as-caida20071105,2,10465
as-caida20071105,3,2509
as-caida20071105,4,1028
as-caida20071105,5,535
as-caida20071105,6,341
as-caida20071105,7,237
as-caida20071105,8,171
as-caida20071105,9,129
as-caida20071105,10,128
as-caida20071105,11,98
as-caida20071105,12,75
as-caida20071105,13,60
as-caida20071105,14,62
as-caida20071105,15,41
as-caida20071105,16,40
as-caida20071105,17,44
as-caida20071105,18,36
as-caida20071105,19,35
as-caida20071105,20,32
as-caida20071105,21,21
as-caida20071105,22,24
as-caida20071105,23,21
as-caida20071105,24,19
as-caida20071105,25,13
as-caida20071105,26,14
as-caida20071105,27,11
as-caida20071105,28,14
as-caida20071105,29,13
as-caida20071105,30,11
as-caida20071105,31,10
as-caida20071105,32,9
as-caida20071105,33,4
as-caida20071105,34,7
as-caida20071105,35,11
as-caida20071105,36,7
as-caida20071105,37,6
as-caida20071105,38,8
as-caida20071105,39,13
as-caida20071105,40,7
as-caida20071105,41,8
as-caida20071105,42,8
as-caida20071105,43,8
as-caida20071105,44,3
as-caida20071105,45,9
as-caida20071105,47,6
as-caida20071105,48,1
as-caida20071105,49,6
as-caida20071105,50,3
as-caida20071105,51,6
as-caida20071105,52,7
as-caida20071105,53,3
as-caida20071105,54,3
as-caida20071105,55,4
as-caida20071105,56,5
as-caida20071105,57,2
as-caida20071105,58,2
as-caida20071105,59,2
as-caida20071105,60,2
as-caida20071105,61,3
as-caida20071105,62,2
as-caida20071105,63,4
as-caida20071105,64,2
as-caida20071105,65,2
as-caida20071105,66,1
as-caida20071105,67,4
as-caida20071105,68,2
as-caida20071105,69,2
as-caida20071105,71,6
as-caida20071105,72,2
as-caida20071105,76,1
as-caida20071105,77,2
as-caida20071105,78,1
as-caida20071105,80,2
as-caida20071105,82,2
as-caida20071105,83,5
as-caida20071105,84,1
as-caida20071105,87,2
as-caida20071105,88,2
as-caida20071105,89,2
as-caida20071105,91,2
as-caida20071105,94,1
as-caida20071105,95,1
as-caida20071105,96,2
as-caida20071105,99,2
as-caida20071105,101,1
as-caida20071105,102,1
as-caida20071105,104,2
as-caida20071105,106,1
as-caida20071105,107,1
as-caida20071105,108,1
as-caida20071105,109,2
as-caida20071105,111,2
as-caida20071105,113,1
as-caida20071105,114,1
as-caida20071105,122,1
as-caida20071105,123,1
as-caida20071105,124,1
as-caida20071105,125,1
as-caida20071105,126,1
as-caida20071105,127,1
as-caida20071105,128,1
as-caida20071105,129,1
as-caida20071105,133,1
as-caida20071105,135,1
as-caida20071105,140,1
as-caida20071105,142,1
as-caida20071105,143,1
as-caida20071105,154,1
as-caida20071105,155,2
as-caida20071105,156,2
as-caida20071105,159,1
as-caida20071105,166,1
as-caida20071105,169,2
as-caida20071105,174,1
as-caida20071105,176,1
as-caida20071105,177,1
as-caida20071105,182,1
as-caida20071105,184,1
as-caida20071105,190,1
as-caida20071105,193,1
as-caida20071105,194,1
as-caida20071105,198,2
as-caida20071105,220,1
as-caida20071105,222,1
as-caida20071105,227,1
as-caida20071105,233,2
as-caida20071105,239,1
as-caida20071105,271,1
as-caida20071105,282,1
as-caida20071105,290,1
as-caida20071105,292,1
as-caida20071105,308,1
as-caida20071105,311,1
as-caida20071105,319,1
as-caida20071105,327,2
as-caida20071105,376,1
as-caida20071105,405,1
as-caida20071105,417,1
as-caida20071105,426,1
as-caida20071105,437,1
as-caida20071105,469,1
as-caida20071105,487,1
as-caida20071105,497,1
as-caida20071105,498,1
as-caida20071105,518,1
as-caida20071105,540,1
as-caida20071105,564,2
as-caida20071105,615,1
as-caida20071105,695,1
as-caida20071105,913,1
as-caida20071105,999,1
as-caida20071105,1272,1
as-caida20071105,1631,1
as-caida20071105,1677,1
as-caida20071105,1699,1
as-caida20071105,2052,1
as-caida20071105,2628,1
reactome,1,371
reactome,2,398
reactome,3,664
reactome,4,313
reactome,5,276
reactome,6,155
reactome,7,120
reactome,8,141
reactome,9,126
reactome,10,113
reactome,11,93
reactome,12,102
reactome,13,95
reactome,14,84
reactome,15,80
reactome,16,55
reactome,17,58
reactome,18,109
reactome,19,71
reactome,20,64
reactome,21,51
reactome,22,40
reactome,23,50
reactome,24,33
reactome,25,45
reactome,26,65
reactome,27,72
reactome,28,34
reactome,29,26
reactome,30,33
reactome,31,46
reactome,32,36
reactome,33,34
reactome,34,15
reactome,35,64
reactome,36,23
reactome,37,82
reactome,38,21
reactome,39,41
reactome,40,28
reactome,41,30
reactome,42,34
reactome,43,17
reactome,44,18
reactome,45,8
reactome,46,20
reactome,47,15
reactome,48,8
reactome,49,17
reactome,50,22
reactome,51,42
reactome,52,26
reactome,53,16
reactome,54,25
reactome,55,22
reactome,56,23
reactome,57,18
reactome,58,17
reactome,59,21
reactome,60,64
reactome,61,7
reactome,62,9
reactome,63,12
reactome,64,10
reactome,65,12
reactome,66,7
reactome,67,9
reactome,68,16
reactome,69,4
reactome,70,3
reactome,71,6
reactome,72,5
reactome,73,2
reactome,74,35
reactome,75,4
reactome,76,4
reactome,77,4
reactome,78,7
reactome,79,5
reactome,81,12
reactome,82,6
reactome,83,14
reactome,85,9
reactome,86,1
reactome,87,47
reactome,88,1
reactome,89,27
reactome,90,31
reactome,91,83
reactome,92,6
reactome,93,8
reactome,94,5
reactome,95,6
reactome,96,29
reactome,97,5
reactome,98,3
reactome,99,1
reactome,100,2
reactome,101,6
reactome,102,13
reactome,103,1
reactome,104,20
reactome,105,6
reactome,106,16
reactome,107,2
reactome,108,9
reactome,109,1
reactome,110,26
reactome,111,11
reactome,112,3
reactome,113,52
reactome,114,27
reactome,115,26
reactome,116,14
reactome,118,4
reactome,119,2
reactome,120,2
reactome,121,3
reactome,122,5
reactome,123,2
reactome,124,6
reactome,125,8
reactome,126,10
reactome,127,4
reactome,128,2
reactome,129,1
reactome,130,6
reactome,131,17
reactome,132,1
reactome,133,24
reactome,134,40
reactome,135,2
reactome,136,1
reactome,137,1
reactome,138,1
reactome,139,2
reactome,143,5
reactome,145,16
reactome,147,1
reactome,148,5
reactome,149,60
reactome,150,20
reactome,151,17
reactome,152,3
reactome,153,43
reactome,154,5
reactome,155,8
reactome,157,5
reactome,159,3
reactome,160,53
reactome,161,2
reactome,162,4
reactome,163,1
reactome,164,4
reactome,165,31
reactome,166,5
reactome,167,2
reactome,169,1
reactome,170,1
reactome,171,11
reactome,172,5
reactome,173,3
reactome,174,1
reactome,175,7
reactome,176,20
reactome,179,1
reactome,181,4
reactome,182,4
reactome,183,1
reactome,184,26
reactome,185,2
reactome,186,3
reactome,188,3
reactome,189,1
reactome,190,4
reactome,191,1
reactome,194,2
reactome,195,4
reactome,196,4
reactome,197,4
reactome,199,1
reactome,200,1
reactome,202,2
reactome,203,11
reactome,204,5
reactome,205,14
reactome,206,22
reactome,207,12
reactome,208,38
reactome,209,7
reactome,210,6
reactome,211,3
reactome,213,8
reactome,219,5
reactome,222,1
reactome,223,2
reactome,224,5
reactome,226,1
reactome,227,38
reactome,228,1
reactome,229,7
reactome,232,1
reactome,233,1
reactome,234,1
reactome,239,1
reactome,241,1
reactome,242,1
reactome,243,1
reactome,246,2
reactome,247,2
reactome,248,1
reactome,249,2
reactome,250,1
reactome,253,1
reactome,254,1
reactome,255,2
reactome,256,2
reactome,257,1
reactome,259,1
reactome,265,6
reactome,272,1
reactome,274,1
reactome,277,1
reactome,279,1
reactome,280,1
reactome,281,1
reactome,285,1
reactome,286,6
reactome,290,5
reactome,291,1
reactome,299,6
reactome,304,1
reactome,305,3
reactome,306,1
reactome,313,4
reactome,314,1
reactome,315,1
reactome,319,2
reactome,320,2
reactome,321,5
reactome,326,1
reactome,327,1
reactome,333,1
reactome,334,1
reactome,338,2
reactome,341,2
reactome,344,1
reactome,348,2
reactome,350,1
reactome,352,1
reactome,365,1
reactome,370,1
reactome,397,2
reactome,398,1
reactome,409,4
reactome,412,1
reactome,422,1
reactome,427,1
reactome,447,2
reactome,454,1
reactome,495,1
reactome,513,1
reactome,601,1
reactome,606,1
reactome,855,1
ca-AstroPh,1,1282
ca-AstroPh,2,1720
ca-AstroPh,3,1597
ca-AstroPh,4,1266
ca-AstroPh,5,985
ca-AstroPh,6,810
ca-AstroPh,7,705
ca-AstroPh,8,564
ca-AstroPh,9,511
ca-AstroPh,10,480
ca-AstroPh,11,412
ca-AstroPh,12,446
ca-AstroPh,13,318
ca-AstroPh,14,290
ca-AstroPh,15,290
ca-AstroPh,16,267
ca-AstroPh,17,292
ca-AstroPh,18,287
ca-AstroPh,19,261
ca-AstroPh,20,204
ca-AstroPh,21,190
ca-AstroPh,22,229
ca-AstroPh,23,193
ca-AstroPh,24,153
ca-AstroPh,25,156
ca-AstroPh,26,152
ca-AstroPh,27,152
ca-AstroPh,28,157
ca-AstroPh,29,157
ca-AstroPh,30,153
ca-AstroPh,31,140
ca-AstroPh,32,134
ca-AstroPh,33,100
ca-AstroPh,34,98
ca-AstroPh,35,123
ca-AstroPh,36,117
ca-AstroPh,37,99
ca-AstroPh,38,96
ca-AstroPh,39,108
ca-AstroPh,40,100
ca-AstroPh,41,102
ca-AstroPh,42,96
ca-AstroPh,43,86
ca-AstroPh,44,81
ca-AstroPh,45,103
ca-AstroPh,46,90
ca-AstroPh,47,88
ca-AstroPh,48,94
ca-AstroPh,49,64
ca-AstroPh,50,61
ca-AstroPh,51,92
ca-AstroPh,52,72
ca-AstroPh,53,73
ca-AstroPh,54,50
ca-AstroPh,55,47
ca-AstroPh,56,53
ca-AstroPh,57,42
ca-AstroPh,58,40
ca-AstroPh,59,46
ca-AstroPh,60,35
ca-AstroPh,61,54
ca-AstroPh,62,36
ca-AstroPh,63,33
ca-AstroPh,64,39
ca-AstroPh,65,36
ca-AstroPh,66,43
ca-AstroPh,67,32
ca-AstroPh,68,41
ca-AstroPh,69,48
ca-AstroPh,70,33
ca-AstroPh,71,23
ca-AstroPh,72,34
ca-AstroPh,73,31
ca-AstroPh,74,37
ca-AstroPh,75,34
ca-AstroPh,76,30
ca-AstroPh,77,22
ca-AstroPh,78,18
ca-AstroPh,79,24
ca-AstroPh,80,41
ca-AstroPh,81,28
ca-AstroPh,82,23
ca-AstroPh,83,23
ca-AstroPh,84,18
ca-AstroPh,85,34
ca-AstroPh,86,21
ca-AstroPh,87,22
ca-AstroPh,88,18
ca-AstroPh,89,5
ca-AstroPh,90,13
ca-AstroPh,91,26
ca-AstroPh,92,13
ca-AstroPh,93,21
ca-AstroPh,94,15
ca-AstroPh,95,13
ca-AstroPh,96,15
ca-AstroPh,97,5
ca-AstroPh,98,11
ca-AstroPh,99,13
ca-AstroPh,100,12
ca-AstroPh,101,9
ca-AstroPh,102,9
ca-AstroPh,103,8
ca-AstroPh,104,7
ca-AstroPh,105,22
ca-AstroPh,106,8
ca-AstroPh,107,13
ca-AstroPh,108,16
ca-AstroPh,109,10
ca-AstroPh,110,7
ca-AstroPh,111,11
ca-AstroPh,112,13
ca-AstroPh,113,10
ca-AstroPh,114,10
ca-AstroPh,115,6
ca-AstroPh,116,7
ca-AstroPh,117,8
ca-AstroPh,118,9
ca-AstroPh,119,7
ca-AstroPh,120,10
ca-AstroPh,121,4
ca-AstroPh,122,4
ca-AstroPh,123,10
ca-AstroPh,124,9
ca-AstroPh,125,9
ca-AstroPh,126,7
ca-AstroPh,127,4
ca-AstroPh,128,6
ca-AstroPh,129,8
ca-AstroPh,130,5
ca-AstroPh,131,3
ca-AstroPh,132,11
ca-AstroPh,133,9
ca-AstroPh,134,6
ca-AstroPh,135,3
ca-AstroPh,136,6
ca-AstroPh,137,5
ca-AstroPh,138,6
ca-AstroPh,139,8
ca-AstroPh,140,4
ca-AstroPh,141,5
ca-AstroPh,142,6
ca-AstroPh,143,6
ca-AstroPh,144,5
ca-AstroPh,145,4
ca-AstroPh,146,2
ca-AstroPh,147,3
ca-AstroPh,148,6
ca-AstroPh,149,6
ca-AstroPh,150,4
ca-AstroPh,151,2
ca-AstroPh,152,4
ca-AstroPh,153,6
ca-AstroPh,154,1
ca-AstroPh,155,4
ca-AstroPh,156,3
ca-AstroPh,157,3
ca-AstroPh,158,4
ca-AstroPh,159,2
ca-AstroPh,161,3
ca-AstroPh,162,5
ca-AstroPh,163,2
ca-AstroPh,165,2
ca-AstroPh,166,5
ca-AstroPh,168,1
ca-AstroPh,169,4
ca-AstroPh,171,1
ca-AstroPh,172,3
ca-AstroPh,173,4
ca-AstroPh,174,5
ca-AstroPh,175,3
ca-AstroPh,176,1
ca-AstroPh,178,3
ca-AstroPh,179,1
ca-AstroPh,180,1
ca-AstroPh,181,1
ca-AstroPh,182,1
ca-AstroPh,185,2
ca-AstroPh,188,2
ca-AstroPh,189,1
ca-AstroPh,190,1
ca-AstroPh,192,3
ca-AstroPh,193,1
ca-AstroPh,194,2
ca-AstroPh,195,1
ca-AstroPh,196,2
ca-AstroPh,197,1
ca-AstroPh,200,1
ca-AstroPh,202,1
ca-AstroPh,208,1
ca-AstroPh,210,1
ca-AstroPh,211,2
ca-AstroPh,212,1
ca-AstroPh,213,4
ca-AstroPh,214,3
ca-AstroPh,216,1
ca-AstroPh,219,2
ca-AstroPh,220,1
ca-AstroPh,222,2
ca-AstroPh,224,2
ca-AstroPh,229,1
ca-AstroPh,230,1
ca-AstroPh,233,1
ca-AstroPh,234,1
ca-AstroPh,235,1
ca-AstroPh,236,1
ca-AstroPh,249,1
ca-AstroPh,252,2
ca-AstroPh,256,1
ca-AstroPh,257,1
ca-AstroPh,258,1
ca-AstroPh,269,1
ca-AstroPh,270,1
ca-AstroPh,271,2
ca-AstroPh,274,1
ca-AstroPh,281,1
ca-AstroPh,292,1
ca-AstroPh,297,1
ca-AstroPh,313,1
ca-AstroPh,323,2
ca-AstroPh,329,1
ca-AstroPh,330,1
ca-AstroPh,333,1
ca-AstroPh,336,1
ca-AstroPh,350,1
ca-AstroPh,351,1
ca-AstroPh,362,1
ca-AstroPh,369,1
ca-AstroPh,383,1
ca-AstroPh,387,1
ca-AstroPh,418,1
ca-AstroPh,420,1
ca-AstroPh,427,1
ca-AstroPh,504,1
loc-brightkite_edges,1,21157
loc-brightkite_edges,2,9374
loc-brightkite_edges,3,5360
loc-brightkite_edges,4,3695
loc-brightkite_edges,5,2624
loc-brightkite_edges,6,2052
loc-brightkite_edges,7,1639
loc-brightkite_edges,8,1304
loc-brightkite_edges,9,1090
loc-brightkite_edges,10,939
loc-brightkite_edges,11,750
loc-brightkite_edges,12,697
loc-brightkite_edges,13,634
loc-brightkite_edges,14,523
loc-brightkite_edges,15,469
loc-brightkite_edges,16,381
loc-brightkite_edges,17,328
loc-brightkite_edges,18,335
loc-brightkite_edges,19,291
loc-brightkite_edges,20,281
loc-brightkite_edges,21,228
loc-brightkite_edges,22,247
loc-brightkite_edges,23,187
loc-brightkite_edges,24,203
loc-brightkite_edges,25,179
loc-brightkite_edges,26,172
loc-brightkite_edges,27,157
loc-brightkite_edges,28,141
loc-brightkite_edges,29,121
loc-brightkite_edges,30,126
loc-brightkite_edges,31,110
loc-brightkite_edges,32,108
loc-brightkite_edges,33,89
loc-brightkite_edges,34,89
loc-brightkite_edges,35,82
loc-brightkite_edges,36,84
loc-brightkite_edges,37,82
loc-brightkite_edges,38,70
loc-brightkite_edges,39,60
loc-brightkite_edges,40,60
loc-brightkite_edges,41,61
loc-brightkite_edges,42,58
loc-brightkite_edges,43,54
